Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 12:04:42,1,4.63,47.80,315.30,0.00,58.71,0.00,32.32,32.74,18.48,5.88,2.33,3.72,65.49,19.00,7.03,5.84,7.88,5.93,30.00,32.00,32.00,29.32,48.47,843.86,26.95,0,1985,1985,170,-85,Pb1.5,Protobuff ,15
2026-09-12 12:04:44,2,4.63,47.80,315.30,0.00,58.71,0.00,32.32,32.74,18.09,5.88,2.33,3.72,65.49,19.00,7.03,5.84,7.88,5.93,30.00,33.00,33.00,29.34,48.35,843.81,53.35,2510,4433,1923,170,-85,Pb1.5,Protobuff ,15
2026-09-12 12:04:46,3,4.63,47.80,315.30,0.00,58.71,0.00,32.32,32.74,18.09,5.88,2.33,3.72,65.49,19.00,7.03,5.84,7.88,5.93,30.00,32.00,33.00,29.36,48.21,843.79,78.48,5021,6919,1898,170,-89,Pb1.5,Protobuff ,15
2026-09-12 12:04:49,4,5.55,47.80,315.30,0.00,58.71,0.00,32.32,32.74,18.09,0.00,2.33,3.72,65.49,19.00,7.03,5.84,7.88,5.93,30.00,32.00,32.00,29.38,48.12,843.77,98.97,7534,9404,1870,170,-89,Pb1.5,Protobuff ,15
2026-09-12 12:04:51,5,5.55,47.80,315.30,0.00,58.71,0.00,32.32,32.74,18.09,0.00,2.33,2.79,65.49,19.00,7.03,5.84,7.88,5.93,30.00,33.00,32.00,29.40,48.03,843.75,113.45,10045,11939,1894,170,-87,Pb1.5,Protobuff ,15
2026-09-12 12:04:54,6,5.55,47.80,315.30,0.00,58.71,0.00,32.32,32.74,18.09,0.00,2.33,2.79,65.49,19.00,7.03,5.84,7.88,5.93,30.00,33.00,33.00,29.42,47.95,843.74,126.39,12557,14571,2014,170,-87,Pb1.5,Protobuff ,15
