Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:21:13,1,2.78,28.68,276.01,0.00,32.10,0.00,4.34,3.18,2.36,0.00,1.16,1.86,3.33,3.00,2.64,3.34,3.50,3.56,29.00,31.00,31.00,28.75,51.18,844.56,6.27,0,1971,1971,170,-75,Proto1.1 off,Protobuff ,0.6
2026-09-12 11:21:15,2,2.78,28.68,276.01,0.00,32.10,0.00,4.34,3.18,2.36,0.00,1.16,1.86,3.33,3.00,2.64,2.50,3.50,3.56,29.00,31.00,31.00,28.77,51.05,844.53,14.07,2511,4368,1857,170,-75,Proto1.1 off,Protobuff ,0.6
2026-09-12 11:21:18,3,2.78,28.68,276.01,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,29.00,31.00,31.00,28.79,50.90,844.51,23.03,5021,6943,1922,170,-68,Proto1.1 off,Protobuff ,0.6
2026-09-12 11:21:20,4,2.78,28.68,276.01,0.00,32.10,0.00,4.34,3.18,2.36,1.57,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,29.00,31.00,31.00,28.81,50.81,844.49,31.46,7533,9389,1856,170,-68,Proto1.1 off,Protobuff ,0.6
2026-09-12 11:21:23,5,2.78,27.72,276.01,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,29.00,31.00,31.00,28.82,50.74,844.48,38.92,10046,11874,1828,170,-69,Proto1.1 off,Protobuff ,0.6
2026-09-12 11:21:26,6,2.78,27.72,275.05,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,29.00,31.00,31.00,28.83,50.66,844.47,45.91,12559,14451,1892,170,-69,Proto1.1 off,Protobuff ,0.6
