Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:43:48,1,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,32.00,29.00,50.24,844.12,37.15,0,1931,1931,170,-78,Proto1.3 off,Protobuff,5
2026-09-12 11:43:51,2,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,30.00,32.00,31.00,29.00,50.09,844.12,64.43,2512,4368,1856,170,-78,Proto1.3 off,Protobuff,5
2026-09-12 11:43:53,3,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,32.00,29.00,49.96,844.12,84.71,5023,6957,1934,170,-78,Proto1.3 off,Protobuff,5
2026-09-12 11:43:56,4,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,32.00,29.01,49.84,844.12,100.85,7534,9389,1855,170,-78,Proto1.3 off,Protobuff,5
2026-09-12 11:43:58,5,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,0.00,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,31.00,29.01,49.74,844.12,111.89,10045,11924,1879,170,-78,Proto1.3 off,Protobuff,5
2026-09-12 11:44:01,6,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,31.00,29.02,49.71,844.12,120.41,12558,14460,1902,170,-78,Proto1.3 off,Protobuff,5
