Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 12:11:31,1,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,33.00,29.41,48.37,843.69,25.45,0,1885,1885,170,-90,Pb1.5 off,Protobuff,15
2026-09-12 12:11:34,2,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,30.00,32.00,33.00,29.42,48.22,843.66,51.15,2510,4473,1963,170,-90,Pb1.5 off,Protobuff,15
2026-09-12 12:11:37,3,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.43,48.07,843.63,77.06,5018,6959,1941,170,-89,Pb1.5 off,Protobuff,15
2026-09-12 12:11:39,4,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.44,47.93,843.61,98.46,7527,9431,1904,170,-89,Pb1.5 off,Protobuff,15
2026-09-12 12:11:42,5,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,33.00,29.45,47.82,843.60,114.29,10038,12024,1986,170,-88,Pb1.5 off,Protobuff,15
2026-09-12 12:11:44,6,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.46,47.78,843.58,126.48,12549,14464,1915,170,-88,Pb1.5 off,Protobuff,15
