Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:58:16,1,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.22,49.20,844.01,33.14,0,1882,1882,170,-77,Proto1.4 off,Protobuff ,10
2026-09-12 11:58:19,2,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.24,49.06,843.98,61.42,2510,4366,1856,170,-77,Proto1.4 off,Protobuff ,10
2026-09-12 11:58:21,3,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.26,48.95,843.96,84.63,5021,6951,1930,170,-78,Proto1.4 off,Protobuff ,10
2026-09-12 11:58:24,4,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.28,48.82,843.94,103.29,7533,9290,1757,170,-78,Proto1.4 off,Protobuff ,10
2026-09-12 11:58:26,5,2.78,27.72,273.14,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.29,48.74,843.92,117.19,10043,11923,1880,170,-80,Proto1.4 off,Protobuff ,10
2026-09-12 11:58:29,6,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,32.00,32.00,29.30,48.64,843.91,126.76,12553,14458,1905,170,-80,Proto1.4 off,Protobuff ,10
