Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:54:21,1,5.55,47.80,316.26,0.00,58.71,0.00,32.80,33.20,18.48,5.88,2.91,3.72,65.49,20.00,7.91,6.68,7.88,7.12,30.00,32.00,32.00,29.03,49.55,844.10,13.14,0,1919,1919,170,-82,Pb1.4,Protobuff ,10
2026-09-12 11:54:23,2,5.55,47.80,316.26,0.00,58.71,0.00,32.80,32.74,18.48,5.88,2.91,3.72,65.49,20.00,7.91,6.68,7.88,7.12,29.00,32.00,33.00,29.08,49.41,844.09,32.46,2509,4408,1899,170,-82,Pb1.4,Protobuff ,10
2026-09-12 11:54:26,3,5.55,47.80,316.26,0.00,58.71,0.00,32.80,32.74,18.48,0.00,2.91,3.72,65.49,20.00,7.91,6.68,7.88,7.12,30.00,32.00,32.00,29.13,49.26,844.08,56.09,5020,6945,1925,170,-83,Pb1.4,Protobuff ,10
2026-09-12 11:54:28,4,5.55,47.80,316.26,0.00,58.71,0.00,32.32,33.20,18.48,0.00,2.91,3.72,65.49,20.00,7.91,6.68,7.88,7.12,30.00,32.00,32.00,29.16,49.15,844.06,75.63,7533,9332,1799,170,-83,Pb1.4,Protobuff ,10
2026-09-12 11:54:31,5,5.55,47.80,316.26,0.00,58.71,0.00,32.32,32.74,18.48,5.88,2.91,3.72,65.49,19.00,7.91,6.68,7.88,7.12,29.00,32.00,32.00,29.19,49.04,844.05,90.65,10043,11956,1913,170,-83,Pb1.4,Protobuff ,10
2026-09-12 11:54:33,6,5.55,47.80,316.26,0.00,58.71,0.00,32.80,32.74,18.48,5.88,2.91,3.72,65.49,19.00,7.91,6.68,7.88,7.12,29.00,32.00,32.00,29.21,48.96,844.05,104.11,12552,14451,1899,170,-83,Pb1.4,Protobuff ,10
