Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:26:16,1,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.42,60.95,17.25,5.82,6.51,233.09,59.00,20.20,15.02,20.15,14.24,29.00,31.00,31.00,28.84,50.92,844.43,15.48,0,1926,1926,170,-67,Pb1.2,Protobuff,1
2026-09-12 11:26:18,2,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.42,60.95,17.25,5.82,6.51,233.09,59.00,20.20,15.02,21.03,14.24,29.00,31.00,31.00,28.85,50.78,844.40,29.52,2511,4415,1904,170,-66,Pb1.2,Protobuff,1
2026-09-12 11:26:21,3,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.42,60.95,0.00,5.82,6.51,233.09,59.00,20.20,15.02,20.15,14.24,29.00,32.00,31.00,28.87,50.64,844.37,42.44,5024,6900,1876,170,-66,Pb1.2,Protobuff,1
2026-09-12 11:26:23,4,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.42,60.95,17.25,5.82,6.51,233.09,59.00,19.32,15.02,20.15,14.24,29.00,31.00,31.00,28.88,50.53,844.36,54.03,7534,9435,1901,170,-63,Pb1.2,Protobuff,1
2026-09-12 11:26:26,5,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.42,60.95,17.25,5.82,6.51,233.09,59.00,19.32,15.02,20.15,14.24,29.00,31.00,31.00,28.89,50.47,844.34,63.52,10046,11921,1875,170,-63,Pb1.2,Protobuff,1
2026-09-12 11:26:28,6,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.42,60.95,0.00,5.82,6.51,233.09,59.00,19.32,15.02,20.15,14.24,29.00,31.00,31.00,28.91,50.44,844.33,70.97,12557,14505,1948,170,-61,Pb1.2,Protobuff,1
