Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:35:05,1,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,0.00,1.16,1.86,2.22,2.00,1.76,1.67,1.75,2.37,29.00,31.00,31.00,28.91,50.57,844.29,14.67,0,1747,1747,170,-74,Proto1.2 off,Protobuff,1
2026-09-12 11:35:07,2,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,0.00,1.16,1.86,2.22,2.00,1.76,1.67,1.75,2.37,29.00,31.00,31.00,28.93,50.41,844.24,30.36,2522,4332,1810,170,-74,Proto1.2 off,Protobuff,1
2026-09-12 11:35:10,3,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,0.00,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,31.00,28.94,50.28,844.22,46.77,5035,6867,1832,170,-66,Proto1.2 off,Protobuff,1
2026-09-12 11:35:12,4,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,1.75,2.37,29.00,31.00,31.00,28.96,50.15,844.22,61.46,7545,9499,1954,170,-66,Proto1.2 off,Protobuff,1
2026-09-12 11:35:15,5,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,1.75,2.37,29.00,32.00,31.00,28.97,50.05,844.20,72.42,10055,11987,1932,170,-69,Proto1.2 off,Protobuff,1
2026-09-12 11:35:17,6,2.78,27.72,273.14,0.00,31.31,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,29.00,31.00,32.00,28.98,49.99,844.19,82.26,12567,14475,1908,170,-69,Proto1.2 off,Protobuff,1
