Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,protocol,distance_m
2026-09-12 11:40:30,1,12.03,101.33,439.89,0.00,129.95,0.00,111.91,117.78,62.13,0.00,6.99,7.44,236.42,62.00,22.84,18.36,23.65,17.80,29.00,31.00,31.00,28.97,50.40,844.17,22.76,0,1871,1871,170,-81,Pb1.3,Protobuff ,5
2026-09-12 11:40:33,2,12.96,101.33,439.89,0.00,129.95,0.00,111.91,117.78,62.13,18.82,6.99,7.44,236.42,62.00,22.84,18.36,23.65,17.80,29.00,32.00,31.00,28.98,50.22,844.16,43.57,2511,4454,1943,170,-81,Pb1.3,Protobuff ,5
2026-09-12 11:40:35,3,12.96,101.33,439.89,0.00,129.95,0.00,111.91,117.78,62.13,0.00,6.99,7.44,236.42,62.00,22.84,18.36,24.53,17.80,29.00,32.00,31.00,28.99,50.09,844.14,64.10,5022,6893,1871,170,-83,Pb1.3,Protobuff ,5
2026-09-12 11:40:38,4,12.03,101.33,439.89,0.00,129.95,0.00,111.43,117.33,61.73,18.03,6.99,7.44,235.31,61.00,21.08,17.52,22.78,16.61,29.00,32.00,31.00,29.00,49.97,844.13,78.70,7534,9426,1892,170,-83,Pb1.3,Protobuff ,5
2026-09-12 11:40:40,5,12.03,101.33,439.89,0.00,129.95,0.00,111.43,116.87,61.34,18.03,6.40,7.44,234.20,60.00,21.08,16.69,21.90,15.43,29.00,31.00,31.00,29.01,49.90,844.12,89.89,10046,11913,1867,170,-82,Pb1.3,Protobuff ,5
2026-09-12 11:40:43,6,12.03,100.38,438.93,0.00,129.17,0.00,110.95,116.87,61.34,0.00,6.40,7.44,234.20,60.00,21.08,16.69,21.90,15.43,29.00,31.00,31.00,29.01,49.85,844.12,100.79,12555,14401,1846,170,-82,Pb1.3,Protobuff ,5
