Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:47:39,1,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,30.00,33.00,33.00,29.83,46.43,842.94,78.84,0,1991,1991,310,-70,Sp1M off,1
2026-09-12 12:47:41,2,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,31.00,33.00,33.00,29.84,46.31,842.93,117.84,2510,4526,2016,311,-71,Sp1M off,1
2026-09-12 12:47:44,3,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,31.00,33.00,33.00,29.85,46.18,842.91,147.47,5022,6965,1943,311,-71,Sp1M off,1
2026-09-12 12:47:46,4,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,31.00,33.00,33.00,29.86,46.10,842.91,167.59,7533,9498,1965,311,-69,Sp1M off,1
2026-09-12 12:47:49,5,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,30.00,33.00,33.00,29.87,46.04,842.90,182.86,10044,11985,1941,311,-69,Sp1M off,1
2026-09-12 12:47:51,6,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,2.37,31.00,33.00,32.00,29.87,46.00,842.90,197.49,12555,14569,2014,311,-69,Sp1M off,1
