Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:50:04,1,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,31.00,33.00,33.00,29.86,46.44,842.90,76.58,0,1977,1977,310,-75,Sp5M off,5
2026-09-12 12:50:06,2,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,0.00,1.16,0.00,3.33,3.00,1.76,2.50,2.63,3.56,30.00,33.00,33.00,29.86,46.33,842.90,115.13,2511,4423,1912,311,-75,Sp5M off,5
2026-09-12 12:50:12,4,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,30.00,33.00,33.00,29.87,46.11,842.90,167.10,7533,9590,2057,311,-81,Sp5M off,5
2026-09-12 12:50:14,5,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,31.00,33.00,33.00,29.87,46.02,842.91,182.08,10043,12020,1977,311,-81,Sp5M off,5
2026-09-12 12:50:17,6,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,1.76,2.50,2.63,3.56,31.00,33.00,33.00,29.88,45.96,842.91,197.04,12555,14507,1952,311,-74,Sp5M off,5
