Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:40:08,1,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.74,47.15,843.09,75.96,0,1958,1958,319,-79,Sp10M,10
2026-09-12 12:40:11,2,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.01,12.27,10.68,31.00,33.00,33.00,29.75,47.01,843.08,113.37,2510,4589,2079,320,-79,Sp10M,10
2026-09-12 12:40:13,3,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.01,12.27,10.68,31.00,33.00,33.00,29.75,46.87,843.07,141.71,5019,6980,1961,320,-79,Sp10M,10
2026-09-12 12:40:16,4,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.11,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,31.00,33.00,33.00,29.76,46.76,843.05,160.65,7530,9563,2033,320,-79,Sp10M,10
2026-09-12 12:40:18,5,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.77,46.67,843.04,174.09,10041,12058,2017,320,-76,Sp10M,10
2026-09-12 12:40:21,6,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.78,46.61,843.03,186.05,12551,14488,1937,320,-76,Sp10M,10
