Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:42:17,1,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,24.00,12.30,10.85,13.14,11.87,31.00,33.00,33.00,29.77,46.94,843.03,80.71,0,2084,2084,319,-88,Sp15M,15
2026-09-12 12:42:19,2,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,24.00,12.30,10.85,13.14,11.87,30.00,33.00,33.00,29.77,46.83,843.03,118.16,2511,4464,1953,320,-89,Sp15M,15
2026-09-12 12:42:22,3,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,24.00,12.30,10.85,13.14,11.87,30.00,33.00,33.00,29.78,46.71,843.03,146.33,5022,7057,2035,320,-89,Sp15M,15
2026-09-12 12:42:24,4,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,24.00,12.30,10.85,13.14,11.87,31.00,33.00,32.00,29.79,46.61,843.04,165.80,7534,9581,2047,320,-88,Sp15M,15
2026-09-12 12:42:27,5,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,0.00,4.08,4.65,68.82,24.00,12.30,10.85,13.14,11.87,30.00,33.00,33.00,29.80,46.52,843.03,179.21,10043,12076,2033,320,-88,Sp15M,15
2026-09-12 12:42:29,6,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,24.00,12.30,10.85,13.14,11.87,31.00,33.00,33.00,29.81,46.47,843.03,194.34,12554,14616,2062,320,-87,Sp15M,15
