Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:53:09,1,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,31.00,33.00,33.00,29.86,46.32,842.90,64.24,0,1946,1946,310,-75,Sp10M off,10
2026-09-12 12:53:12,2,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,31.00,33.00,33.00,29.86,46.18,842.88,102.85,2512,4587,2075,311,-75,Sp10M off,10
2026-09-12 12:53:14,3,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,31.00,33.00,33.00,29.87,46.05,842.87,134.99,5022,6966,1944,311,-78,Sp10M off,10
2026-09-12 12:53:16,4,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,31.00,33.00,33.00,29.87,45.93,842.86,158.27,7532,9504,1972,311,-78,Sp10M off,10
2026-09-12 12:53:19,5,2.78,28.68,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,31.00,33.00,33.00,29.88,45.87,842.86,173.56,10042,11988,1946,311,-76,Sp10M off,10
2026-09-12 12:53:21,6,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,3.33,3.00,2.64,2.50,2.63,3.56,31.00,33.00,33.00,29.89,45.83,842.85,186.66,12553,14522,1969,311,-76,Sp10M off,10
