Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:30:53,1,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.79,47.68,843.25,99.67,0,2029,2029,319,-63,Sp0.6M,0.6
2026-09-12 12:30:56,2,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.76,47.53,843.25,128.38,2509,4515,2006,320,-63,Sp0.6M,0.6
2026-09-12 12:30:58,3,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.74,47.39,843.25,147.85,5020,7004,1984,320,-62,Sp0.6M,0.6
2026-09-12 12:31:01,4,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,31.00,33.00,33.00,29.72,47.26,843.26,162.95,7532,9536,2004,320,-62,Sp0.6M,0.6
2026-09-12 12:31:03,5,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,23.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.72,47.17,843.25,171.99,10041,12023,1982,320,-61,Sp0.6M,0.6
2026-09-12 12:31:06,6,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.56,20.05,7.84,4.08,4.65,68.82,24.00,11.42,10.85,12.27,10.68,30.00,33.00,33.00,29.71,47.09,843.25,180.92,12551,14512,1961,320,-61,Sp0.6M,0.6
