Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:45:29,1,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,30.00,33.00,33.00,29.80,46.73,843.01,62.00,0,2007,2007,310,-66,Sp0.6M off,0.6
2026-09-12 12:45:31,2,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,2.50,2.63,2.37,31.00,33.00,33.00,29.80,46.59,843.00,100.31,2510,4492,1982,311,-59,Sp0.6M off,0.6
2026-09-12 12:45:34,3,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,30.00,33.00,33.00,29.81,46.48,842.99,131.65,5019,6979,1960,311,-59,Sp0.6M off,0.6
2026-09-12 12:45:37,4,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,31.00,33.00,33.00,29.82,46.38,842.98,154.82,7530,9563,2033,311,-58,Sp0.6M off,0.6
2026-09-12 12:45:39,5,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,31.00,33.00,33.00,29.83,46.27,842.96,171.12,10042,12048,2006,311,-58,Sp0.6M off,0.6
2026-09-12 12:45:42,6,2.78,27.72,272.18,0.00,32.10,0.00,4.34,3.18,1.97,1.18,1.16,1.86,2.22,2.00,1.76,1.67,2.63,2.37,31.00,33.00,33.00,29.84,46.21,842.95,183.64,12553,14535,1982,311,-57,Sp0.6M off,0.6
