Timestamp,Sequence,A (410nm),B (435nm),C (460nm),D (485nm),E (510nm),F (535nm),G (560nm),H (585nm),I (610nm),J (645nm),K (680nm),L (705nm),R (730nm),S (760nm),T (810nm),U (860nm),V (900nm),W (940nm),tUV,tVIS,tIR,temperature,humidity,pressure,gas,t1,t2,RTT (ms),DataSize (bytes),RSSI (dBm),experimentID,distance_m
2026-09-12 12:37:59,1,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,19.66,7.45,4.08,3.72,68.82,23.00,11.42,10.01,12.27,10.68,30.00,33.00,33.00,29.71,47.28,843.14,56.50,0,2021,2021,319,-74,Sp5M,5
2026-09-12 12:38:02,2,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,19.66,7.45,4.08,4.65,68.82,23.00,11.42,10.01,12.27,10.68,30.00,33.00,33.00,29.72,47.16,843.13,92.22,2511,4507,1996,319,-74,Sp5M,5
2026-09-12 12:38:04,3,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,19.66,7.45,4.08,3.72,68.82,23.00,11.42,10.01,12.27,10.68,31.00,33.00,33.00,29.73,47.03,843.13,123.55,5023,6996,1973,320,-74,Sp5M,5
2026-09-12 12:38:07,4,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,20.05,7.45,4.08,3.72,68.82,23.00,11.42,10.01,12.27,10.68,30.00,33.00,33.00,29.74,46.93,843.12,145.08,7534,9479,1945,320,-74,Sp5M,5
2026-09-12 12:38:09,5,6.48,48.75,317.22,0.00,60.28,0.00,33.77,34.11,20.05,7.45,4.08,4.65,68.82,23.00,11.42,10.01,12.27,10.68,30.00,33.00,33.00,29.75,46.83,843.11,159.60,10047,12015,1968,320,-75,Sp5M,5
2026-09-12 12:38:12,6,6.48,48.75,317.22,0.00,60.28,0.00,33.28,34.11,20.05,7.45,4.08,3.72,68.82,23.00,11.42,10.01,12.27,10.68,30.00,33.00,33.00,29.76,46.78,843.12,172.86,12557,14502,1945,320,-75,Sp5M,5
